,instructor_name,Number of courses
891,Mall Academy,12
892,Thiago Berka,12
893,Juan Manuel Pereira Olmos,12
894,Services and Consulting,12
895,Richard Roth,12
896,Yana Shvets,12
897,Mike DeVincent,12
898,Juan José Pérez Figuereo,12
899,Gulab Chand Tejwani,12
900,Phillip Roos,12
901,Viktor Garske,12
902,Francisco Lauande,12
903,Vinay Arya,12
904,Ibrahim M,12
905,Vanteux Sébastien,12
906,Juan Jimenez,12
907,Lecturio GmbH,12
908,Soufiane El Alaoui,12
909,"Oksana Zhebel, PhD",12
910,Coding Gears | Train Your Brain,12
911,José Jossymar Jaimes Velázquez,12
912,J.D. Rockefeller's Learning Club,12
913,Steve Alcorn,12
914,Robert Marzullo,12
915,Ali Matar,12
916,Sifu Niko,12
917,Lucy zou,12
918,Joseph @ Wisdify,12
919,Peter Urey,12
920,Gary Hiebner,12
921,Jair Gomez,12
922,Elite Engineering,12
923,George Levy,12
924,Letstute .... Make it Easy,12
925,Bev Morgan,12
926,Gary Spetz,12
927,Lucas Dal Molin,12
928,"Serena Greenslade F.V.C.M. (Hons), A.N.E.A.",12
929,Ewelina Frankowska,12
930,Marcos Oliveira,12
931,Charlene Rossiter,12
932,Joseph Phillips,12
933,Kalob Taulien,12
934,Nelca Roco,12
935,PhD Psychologist İlbey UCAR,12
936,그로스쿨 Groschool,12
937,Brian McLogan,12
938,Víctor Robles,12
939,Nevyan Neykov,12
940,Ready2Pass Academy,12
941,Neven Coaching Academy,12
942,"Dipl.-Ing. Daniel Mrskos, BSc",12
943,Simone Marini,12
944,Mehmet Akif Sayar,12
945,Carlos Felipe,12
946,Distinctive Learning,12
947,Coach Alexander,12
948,The Click Reader,12
